Code,BAG LABEL,Processing date,Processed by,Processing Notes
MCSC0980,ORD-C-B-T3-S7-2-Le,2023-10-23,NA/PA,
MCSC0981,ORD-C-B-T3-S7-1-Le,2023-10-23,NA/PA,
MCSC0982,ORD-C-B-T2-S5-2-Le,2023-10-23,NA/PA,
MCSC0983,ORD-C-B-T2-S5-1-Le,2023-10-23,NA/PA,
MCSC0984,ORD-C-B-T1-S3-2-Le,2023-10-23,NA/PA,
MCSC0985,ORD-C-B-T1-S3-1-Le,2023-10-23,NA/PA,
MCSC0986,ORD-C-B-T1-S1-2-Le,2023-10-23,NA/PA,
MCSC0987,ORD-C-B-T1-S1-1-Le,2023-10-23,NA/PA,
MCSC0988,ORD-C-B-T3-S9-1-Le,2023-10-23,NA/PA,
MCSC0989,ORD-C-B-T3-S9-2-Le,2023-10-23,NA/PA,
MCSC0990,ORD-O-UB-T1-S3-1-Le,2023-10-23,NA/PA,
MCSC0991,ORD-O-UB-T1-S1-2-Le,2023-10-23,NA/PA,
MCSC0992,ORD-O-UB-T1-S1-1-Le,2023-10-23,NA/PA,
MCSC0993,ORD-O-UB-T1-S3-2-Le,2023-10-23,NA/PA,
MCSC0994,ORD-O-UB-T2-S5-1-Le,2023-10-23,NA/PA,
MCSC0995,ORD-O-UB-T2-S5-2-Le,2023-10-23,NA/PA,
MCSC0996,ORD-O-UB-T3-S7-1-Le,2023-10-23,NA/PA,
MCSC0997,ORD-O-UB-T3-S7-2-Le,2023-10-23,NA/PA,
MCSC0998,ORD-O-UB-T3-S9-1-Le,2023-10-23,NA/PA,
MCSC0999,ORD-O-UB-T3-S9-2-Le,2023-10-23,NA/PA,
MCSC1000,ORD-C-UB-T3-S9-2-Le,2023-10-23,NA/PA,
MCSC1001,ORD-C-UB-T1-S1-1-Le,2023-10-23,NA/PA,
MCSC1002,ORD-C-UB-T1-S1-2-Le,2023-10-23,NA/PA,
MCSC1003,ORD-C-UB-T1-S3-1-Le,2023-10-23,NA/PA,
MCSC1004,ORD-C-UB-T1-S3-2-Le,2023-10-23,NA/PA,
MCSC1005,ORD-C-UB-T2-S5-2-Le,2023-10-23,NA/PA,
MCSC1006,ORD-C-UB-T2-S5-1-Le,2023-10-23,NA/PA,
MCSC1007,ORD-C-UB-T3-S7-1-Le,2023-10-23,NA/PA,
MCSC1008,ORD-C-UB-T3-S7-2-Le,2023-10-23,NA/PA,
MCSC1009,ORD-C-UB-T3-S9-1-Le,2023-10-23,NA/PA,
MCSC1010,SRER-G-UB-T1-S1-S1-L,2023-11-02,NA,
MCSC1011,SRER-G-UB-T1-S2-S1-L,2023-11-02,NA,
MCSC1012,SRER-G-UB-T1-S2-S2-L,2023-11-02,NA,
MCSC1013,SRER-G-UB-T1-S1-S2-L,2023-11-02,NA,
MCSC1014,SRER-G-UB-T2-S5-S1-L,2023-11-02,NA,
MCSC1015,SRER-G-UB-T2-S5-S2-L,2023-11-02,NA,
MCSC1016,SRER-G-UB-T3-S8-S2-L,2023-11-02,NA,
MCSC1017,SRER-G-UB-T3-S9-S1-L,2023-11-02,NA,
MCSC1018,SRER-G-UB-T3-S9-S2-L,2023-11-02,NA,
MCSC1019,SRER-G-B-T1-S1-S1-L,2023-11-02,NA,
MCSC1020,SRER-G-B-T1-S1-S2-L,2023-11-02,NA,
MCSC1021,SRER-G-B-T1-S2-S1-L,2023-11-02,NA,
MCSC1022,SRER-G-B-T1-S2-S2-L,2023-11-02,NA,
